# version = csv_v1.0.0
# bname = aaaaaguk_s002_t001
# duration = 1191.0000 secs
# montage_file = $TUAR/v3.0.0/DOCS/01_tcp_ar_montage.txt
# annotation_label_file = $TUAR/v3.0.0/DOCS/nedc_ann_eeg_tools_map_v01.txt
#
channel,start_time,stop_time,label,confidence
FP1-F7,0.0119,2.0925,eyem,1.0000
FP1-F7,23.0622,31.0526,eyem,1.0000
FP1-F7,36.4115,41.9617,eyem,1.0000
FP1-F7,97.0287,101.0000,eyem,1.0000
FP1-F7,104.5072,111.0144,eyem,1.0000
FP1-F7,120.4742,121.4997,eyem,1.0000
FP1-F7,127.0480,128.2276,eyem,1.0000
FP1-F7,135.0089,136.4849,eyem,1.0000
FP1-F7,141.2211,142.2288,eyem,1.0000
FP1-F7,143.9656,145.0089,elec,1.0000
FP1-F7,148.0144,150.0239,eyem,1.0000
FP1-F7,156.1962,166.0048,eyem,1.0000
FP1-F7,214.0000,223.0081,elec,1.0000
FP1-F7,235.1529,237.0676,eyem,1.0000
FP1-F7,246.0850,247.9069,eyem,1.0000
FP1-F7,252.9004,254.4298,eyem,1.0000
FP1-F7,257.5061,259.1255,elec,1.0000
FP1-F7,283.1700,286.0040,eyem,1.0000
FP1-F7,290.6360,293.9733,eyem,1.0000
FP1-F7,323.8548,325.3723,eyem,1.0000
FP1-F7,328.8947,334.1579,eyem,1.0000
FP1-F7,338.0162,340.8502,eyem,1.0000
FP1-F7,344.5951,356.1336,eyem,1.0000
FP1-F7,383.0688,397.1377,eyem,1.0000
FP1-F7,409.1053,411.0283,eyem,1.0000
FP1-F7,415.2794,415.9879,eyem_elec,1.0000
FP1-F7,417.7085,419.3279,eyem,1.0000
FP1-F7,422.1781,437.0567,eyem,1.0000
FP1-F7,447.0769,448.0891,musc,1.0000
FP1-F7,464.0810,474.0000,eyem,1.0000
FP1-F7,479.0607,483.0081,eyem,1.0000
FP1-F7,489.0364,491.0607,eyem,1.0000
FP1-F7,495.0081,496.9312,eyem,1.0000
FP1-F7,506.0405,506.5466,eyem_musc,1.0000
FP1-F7,506.5749,523.0931,eyem,1.0000
FP1-F7,525.0142,527.2004,musc,1.0000
FP1-F7,529.0526,530.8745,musc,1.0000
FP1-F7,533.0040,535.4939,eyem,1.0000
FP1-F7,548.0364,569.1093,eyem,1.0000
FP1-F7,601.2392,601.4785,musc,1.0000
FP1-F7,612.0526,614.4450,eyem,1.0000
FP1-F7,626.3636,643.9713,eyem,1.0000
FP1-F7,648.0191,660.8421,eyem,1.0000
FP1-F7,665.6316,667.8804,eyem,1.0000
FP1-F7,671.2775,672.6172,eyem,1.0000
FP1-F7,676.3014,707.0670,eyem,1.0000
FP1-F7,711.0478,714.0622,eyem,1.0000
FP1-F7,717.4493,719.1031,eyem,1.0000
FP1-F7,727.9856,810.0909,eyem,1.0000
FP1-F7,828.0000,868.0478,eyem,1.0000
FP1-F7,873.0335,886.0478,eyem,1.0000
FP1-F7,908.1579,920.2356,eyem,1.0000
FP1-F7,922.7961,924.6929,eyem,1.0000
FP1-F7,945.2087,946.8743,eyem,1.0000
FP1-F7,964.6794,1034.0096,eyem,1.0000
FP1-F7,1034.0526,1035.3684,eyem_musc,1.0000
FP1-F7,1035.4163,1089.0526,eyem,1.0000
FP1-F7,1102.4880,1142.7273,eyem,1.0000
FP1-F7,1142.7416,1143.7225,eyem_musc,1.0000
FP1-F7,1143.7464,1154.5837,eyem,1.0000
FP1-F7,1154.6316,1155.2057,eyem_musc,1.0000
FP1-F7,1155.2536,1168.0048,eyem,1.0000
FP1-F7,1172.6172,1180.8230,eyem,1.0000
FP1-F7,1187.0000,1190.8038,eyem,1.0000
F7-T3,0.0119,2.0925,eyem,1.0000
F7-T3,135.0089,136.4849,eyem,1.0000
F7-T3,143.9656,145.0089,elec,1.0000
F7-T3,148.0144,150.0239,eyem,1.0000
F7-T3,156.1962,166.0048,eyem,1.0000
F7-T3,214.0000,223.0081,elec,1.0000
F7-T3,252.9004,254.4298,eyem,1.0000
F7-T3,257.5061,259.1255,elec,1.0000
F7-T3,344.5951,356.1336,eyem,1.0000
F7-T3,383.0688,397.1377,eyem,1.0000
F7-T3,415.2794,415.9879,eyem_elec,1.0000
F7-T3,422.1781,437.0567,eyem,1.0000
